,CHAPTER,CHAPTER NAME SANSKRIT,CHAPTER NAME ENGLISH,VERSE NUMBER,SANSKRIT VERSE,SANSKRIT TRANSLITERATION,WORD TRANSLATION,SANSKRIT ENGLISH,VERSE TRANSLATION,VERSE COMMENTARY
0,7,Jñāna Vijñāna Yog,Yog through the Realization of Divine Knowledge,1,श्रीभगवानुवाच |मय्यासक्तमना: पार्थ योगं युञ्जन्मदाश्रय: |असंशयं समग्रं मां यथा ज्ञास्यसि तच्छृणु || 1||,śhrī bhagavān uvāchamayyāsakta-manāḥ pārtha yogaṁ yuñjan mad-āśhrayaḥasanśhayaṁ samagraṁ māṁ yathā jñāsyasi tach chhṛiṇu,"śhrī-bhagavān uvācha—the Supreme Lord said;mayi—to me;āsakta-manāḥ—with the mind attached;pārtha—Arjun, the son of Pritha;yogam—bhakti yog;yuñjan—practicing;mad-āśhrayaḥ—surrendering to me;asanśhayam—free from doubt;samagram—completely;mām—me;yathā—how;jñāsyasi—you shall know;tat—that;śhṛiṇu—listen",shri bhagavan uvachamayyasakta-manah partha yogam yunjan mad-ashrayahasanshayam samagram mam yatha jnasyasi tach chhrinu,"BG 7.1:The Supreme Lord said: Now listen, O Arjun, how, with the mind attached exclusively to Me, and surrendering to Me through the practice ofbhakti yog, you can know Me completely, free from doubt.","While concluding the previous chapter, Shree Krishna stated that the best yogis are those who exclusively focus on God and serve Him with great dedication. This gives rise to a few questions, such as, how can one get to know the Supreme Lord? How should a devotee worship Him and meditate upon Him?Although Arjun had not asked these questions, yet the Omniscient and kind Lord began to answer. Here, Shree Krishna has used the termsmad-āśhrayaḥ, meaning “with your mind focused on Me” andśhṛiṇu,which means “listen.” He is asking Arjun to listen to Him attentively."
1,7,Jñāna Vijñāna Yog,Yog through the Realization of Divine Knowledge,2,ज्ञानं तेऽहं सविज्ञानमिदं वक्ष्याम्यशेषत: |यज्ज्ञात्वा नेह भूयोऽन्यज्ज्ञातव्यमवशिष्यते || 2||,jñānaṁ te ’haṁ sa-vijñānam idaṁ vakṣhyāmyaśheṣhataḥyaj jñātvā neha bhūyo ’nyaj jñātavyam-avaśhiṣhyate,jñānam—knowledge;te—unto you;aham—I;sa—with;vijñānam—wisdom;idam—this;vakṣhyāmi—shall reveal;aśheṣhataḥ—in full;yat—which;jñātvā—having known;na—not;iha—in this world;bhūyaḥ—further;anyat—anything else;jñātavyam—to be known;avaśhiṣhyate—remains,jnanam te ’ham sa-vijnanam idam vakshyamyasheshatahyaj jnatva neha bhuyo ’nyaj jnatavyam-avashishyate,"BG 7.2:I shall now reveal unto you fully this knowledge and wisdom, knowing which nothing else remains to be known in this world.","Jñānais the knowledge learned by applying the mind, senses, and intellect. In contrast,vijñāna(wisdom) is the knowledge gained through spiritual practice, it is a direct experiential realization; and should not be misunderstood for intellectual knowledge. An example to explain this is honey kept in a sealed jar. We have heard that honey has the sweetest taste that is incomparable to any other sweet. But unless we open the jar and taste it, we will not get the experiential realization of its sweetness.Likewise, the Guru gives usjñāna,which is the theoretical knowledge of the scriptures. Yet, we need to practice sadhana as per the acquiredjñāna,which would consequently purify our mind. Only then,vijñāna(wisdom) knowledge, through self-realization will be attained.Once Sage Ved Vyas intended to write the Shreemad Bhagavatam: a scripture that would describe God, His glories, nature, and as the object of devotion. But he did not wish to write it only based upon hisjñāna.Therefore, first he engaged himself  in bhakti to attain the experiential realization, which isvijñāna.He wrote:bhakti-yogena manasi samyak praṇihite ’maleapaśhyat puruṣhaṁ pūrvaṁ māyāṁ cha tad-apāśhrayām(Bhagavatam 1.7.4)“Throughbhakti-yog, Ved Vyas fixed his mind upon God without any material sentiments, and thus attained the complete vision and realization of the Supreme Divine Personality along with His external energy, Maya, which was under His control.”  Inspired by this realization, he wrote the epic scripture.In this verse, Lord Shree Krishna affirms to Arjun that He will bestow upon him the theoretical knowledge regarding the Supreme Divine Personality. He will also illuminate his mind with the required wisdom. Once this knowledge is acquired, there will be nothing remaining for him to know."
2,7,Jñāna Vijñāna Yog,Yog through the Realization of Divine Knowledge,3,मनुष्याणां सहस्रेषु कश्चिद्यतति सिद्धये |यततामपि सिद्धानां कश्चिन्मां वेत्ति तत्त्वत: || 3||,manuṣhyāṇāṁ sahasreṣhu kaśhchid yatati siddhayeyatatām api siddhānāṁ kaśhchin māṁ vetti tattvataḥ,manuṣhyāṇām—of men;sahasreṣhu—out of many thousands;kaśhchit—someone;yatati—strives;siddhaye—for perfection;yatatām—of those who strive;api—even;siddhānām—of those who have achieved perfection;kaśhchit—someone;mām—me;vetti—knows;tattvataḥ—in truth,manushyanam sahasreshu kashchid yatati siddhayeyatatam api siddhanam kashchin mam vetti tattvatah,"BG 7.3:Amongst thousands of persons, hardly one strives for perfection; and amongst those who have achieved perfection, hardly one knows Me in truth.","The wordsiddhihas numerous connotations and meanings. As per the Sanskrit dictionary, a few of them are: attainment of supernatural power, accomplishment, success, performance, fulfillment, solution of a problem, completion of cooking or a task, healing, hitting the mark, maturing, supreme felicity, beatitude, an unusual skill or faculty, perfection.In this verse, Shree Krishna has usedsiddhifor perfection in the spiritual path. He says, “Only a tiny portion of the innumerable souls are fortunate to get a human birth. Amongst them, only a minuscule strive for spiritual perfection. And even among those perfected souls, ones who are aware of My divine glories and paramount position are very rare.”How is it that even perfected souls are unable to know God? The reason is without bhakti or loving devotion, it is not possible to realize the Supreme. Spiritual aspirants ofkarm, jñāna, haṭha yog,etc., cannot know God unless they include devotion in their practice.  Shree Krishna has stated this fact several times in the Bhagavad Gita:“The Supreme Divine Personality is greater than all that exists. Although He is all-pervading and all living beings are situated in Him, yet He can be known only through devotion.”  BG 8.22.“O Arjun, by unalloyed devotion alone can I be known as I am, standing before you. Thereby, on receiving my divine vision, O scorcher of foes, one can enter into union with me.”  BG 11.54“Only by loving devotion to me does one come to know who I am in truth. Then, having come to know me, my devotee enters into full consciousness of me.”  BG 18.55Therefore, such spiritual aspirants who do not include devotion in their sadhana attain only limited theoretical knowledge orjñāna. And devoid ofvijñānathe experiential knowledge, they are unable to know God or the Absolute Truth.Shree Krishna has stated in this verse that only one among numerous humans knows Him in Truth. In the next verse, He moves on to describe the material and spiritual dimensions of His energies."
3,7,Jñāna Vijñāna Yog,Yog through the Realization of Divine Knowledge,4,भूमिरापोऽनलो वायु: खं मनो बुद्धिरेव च |अहङ्कार इतीयं मे भिन्ना प्रकृतिरष्टधा || 4||,bhūmir-āpo ’nalo vāyuḥ khaṁ mano buddhir eva chaahankāra itīyaṁ me bhinnā prakṛitir aṣhṭadhā,bhūmiḥ—earth;āpaḥ—water;analaḥ—fire;vāyuḥ—air;kham—space;manaḥ—mind;buddhiḥ—intellect;eva—certainly;cha—and;ahankāraḥ—ego;iti—thus;iyam—all these;me—my;bhinnā—divisions;prakṛitiḥ—material energy;aṣhṭadhā—eightfold,bhumir-apo ’nalo vayuh kham mano buddhir eva chaahankara itiyam me bhinna prakritir ashtadha,"BG 7.4:Earth, water, fire, air, space, mind, intellect, and ego—these are eight components of My material energy.","The energy that composes this material world is incredibly complex and fathomless. To make it comprehensible to our finite intellect, we have classified it into various categories and sub-categories.  Modern science propagates matter to be a combination of elements, and the 118 elements discovered so far, are sectioned under the Periodic Table.However, the Vedic philosophy and the Bhagavad Gita present a profoundly different classification of the material world. Matter is considered as part of God’s energy and calledprakṛiti.It is further divided into eight forms, as listed in this verse. It is amazing how insightful the knowledge in these ancient scriptures is in comparison to the developing trends in modern science.Albert Einstein was the first to propound the concept of Mass-Energy Equivalence in 1905. In his Annus Mirabilis papers, he stated that it is possible to convert mass into energy and numerically presented it by an equation E=mc2. His Theory of Relativity replaced an earlier concept of the universe made of solid matter. Both these theories were challenged in 1920 by Niels Bohr and other scientists with Quantum Theory, which proposes a dual particle-wave nature of matter. Ever since, the scientific community has been on the lookout for a single field or Unified Field Theory, which could expound on the relationship between matter and all forces of the universe.More than 5000 years ago, long before the development of modern science, Lord Krishna had disclosed the perfect Unified Field Theory. He said to Arjun, “All that exists in the universe has manifested from My material energy.” Just one material energy has extended itself into myriad shapes, forms, and entities of this world. The Taittirīya Upaniṣhad has elaborated on this:tasmadvā etasmādātmana ākāśhaḥ sambhūtaḥākāśhādvāyuḥ vāyoragniḥ agnerāpaḥ adbhyaḥ pṛithivīpṛithivyā oṣhadhayaḥ oṣhadhībhyo ’nnam annātpuruṣhaḥsa vā eṣha puruṣho ’nnarasamayaḥ(2.1.2)""From My material energy theākāśhaḥ(ether) was created, from ether the air; from air, fire; from fire, water; from water, earth; from earth, plants; from plants, food and from food, man. This man is made of food-essence.""The material energy in its primordial form is calledprakṛiti. God glances at it when He wishes to create the world. His glance agitates and createsmahān. (There is no equivalent word for it in English, as modern science is yet to discover such a subtle level of energy)Mahānfurther manifests intoahankāreven this is unknown to modern science.Ahankār,in turn, forms thepañch-tanmātrāsor the five perceptions of – taste, touch, smell, sight, and sound. And from these, the five gross elements— space, air, fire, water, and earth manifest.Lord Shree Krishna includes the mind, intellect, and ego along with the five gross elements as different manifestations of His material energy. In this verse, He states that all these eight elements are simply parts ofMaya,His material energy. In the next verse, He describes another of His superior energy; the soul energy."
4,7,Jñāna Vijñāna Yog,Yog through the Realization of Divine Knowledge,5,अपरेयमितस्त्वन्यां प्रकृतिं विद्धि मे पराम् |जीवभूतां महाबाहो ययेदं धार्यते जगत् || 5||,apareyam itas tvanyāṁ prakṛitiṁ viddhi me parāmjīva-bhūtāṁ mahā-bāho yayedaṁ dhāryate jagat,aparā—inferior;iyam—this;itaḥ—besides this;tu—but;anyām—another;prakṛitim—energy;viddhi—know;me—my;parām—superior;jīva-bhūtām—living beings;mahā-bāho—mighty-armed one;yayā—by whom;idam—this;dhāryate—the basis;jagat—the material world,apareyam itas tvanyam prakritim viddhi me paramjiva-bhutam maha-baho yayedam dharyate jagat,"BG 7.5:Such is My inferior energy. But beyond it, O mighty-armed Arjun, I have a superior energy. This is thejīva śhakti(the soul energy), which comprises the embodied souls who are the basis of life in this world.","Shree Krishna explains that beyond the eight-foldprakṛiti,the material energy, which He says is inferior; there exists another that is far more superior. This energy is completely transcendental as compared to the lifeless matter. It is His spiritual energy, thejīva śhakti, which includes all the living souls of the world. Now, He has moved from explaining material science toward the spiritual realm.Many great philosophers of India have given their perspectives and described the relationship between God and thejīva,the individual soul.  For example, the non-dualists state:jīvo brahmaiva nāparaḥ“The soul itself is God.”  But this concept gives rise to several questions, such as:How can the soul itself be God? God is most powerful, andMayais His subservient energy. The souls are always overpowered by;Maya. Then isMayastronger than God?The individual soul is always; gripped by ignorance and misery. It needs a continuous reminder from the saints and scriptures, even about its existence and purpose. How can God, who is all-knowing, be considered a soul which is subject to ignorance?The Vedas repeatedly state that God is all-pervading in this world and beyond. Similarly, individual souls should also be able to exist anywhere at any given time. Then what about the question of going to heaven or hell after death?There is only one God, but the souls are countless. If the soul itself is God, then there should be many Gods. Therefore, the claims by non-dualistic philosophers that the soul itself is God are inconclusive.The dualist philosophers’ state that the souls and God are separate. Even though it may answer some of the above questions, yet it is still an incomplete philosophy in light of what Shree Krishna states in this verse. He says that the soul is a part ofjīva śhaktiGod’s spiritual energy. And as explained earlier,Maya,the material energy, is also His subservient. Thus, God is supreme; He is the governor of both the lower material and the higher spiritual energies. Now let us see what the scriptures and various saints have said:eka-deśha-sthitasyāgnir jyotsnā vistāriṇī yathāparasya brahmaṇaḥ śhaktis tathedam akhilaṁ jagat(Viṣhṇu Purāṇ 1.22.53)“Just as the sun resides in one place but its sunlight pervades; the entire solar system. Similarly, there is one God, who by His infinite powers pervades the three worlds.”Chaitanya Mahaprabhu said:jīva-tattva śhakti, kṛiṣhṇa-tattva śhaktimāngītā-viṣhṇupurāṇādi tāhāte pramāṇa(Chaitanya Charitāmṛit, Ādi Leela, 7.117)“The soul is the energy of God, while He is the Supreme Energetic.”Once we understand and accept that the soul is a small part of God’s infinite energy, the concept of non-duality of the entire creation becomes clear. Energies can exist concurrently within the same energetic. For example, fire contains both heat and light, which are different entities and have different properties. But they are part of the same fire which emits them. Likewise, God as the Energetic and the souls His energy can be considered one. At the same time, due to their distinct properties, both entities are different from each other. Jagadguru Kripaluji Maharaj has encapsulated and perfectly expressed Shree Krishna’s statement in this and the previous verse:jīvu’ ‘māyā’, dui śhakti haiñ, śhaktimān bhagavānśhaktihiñ bheda abheda bhī, śhaktimān te jān(Bhakti Śhatak verse 42)“The soul and Maya are both energies of God.  Hence, they are both one with God and also different from God.”Considering the unison of both; the Energetic and His energies, it is stated that God and His creation are non-different. The entire world is a veritable form of God.sarvaṁ khalvidaṁ brahma(Chhāndogya Upaniṣhad 3.14.1)“All is Brahman.”īśhāvāsyam idam sarvaṁ(Īśhopaniṣhad 1)“Everything that exists in the world is God.”puruṣha evedaṁ sarvaṁ(Śhwetāśhvatar Upaniṣhad 3.15)“The Supreme Divine Personality is everything that exists.”According to these Vedic verses, there is only one God and nothing else. Yet, when we consider the Energetic and energy concept, there is diversity within this unity and an incredible variety. God, the souls, and matter, all three are different entities with different properties. God is Supremely sentient; He is the source of both the souls and the matter. Yet, souls are sentient, and the matter insentient.The scriptures also state the existence of three entities in creation:kṣharaṁ pradhānamamṛitākṣharaṁ haraḥkṣharātmānāvīśhate deva ekaḥtasyābhidhyānād yojanāt tattvabhāvadbhūyaśhchānte viśhwamāyānivṛittiḥ(Śhwetāśhvatar Upaniṣhad 1.10)“There are three entities in existence: 1) Matter, which is perishable.  2) The individual souls who are imperishable.  3) God, who is the controller of both matter and the souls.  By meditating upon God, uniting with Him, and becoming more like Him, the soul is free from the world’s illusion.”The Vedas have expounded on both dualistic and non-dualistic concepts. Jagadguru Shree Kripaluji Maharaj has upheld the concepts of concurrent coherence, yet variance between the soul and God. This means God and the soul are one; yet, separate from each other."
5,7,Jñāna Vijñāna Yog,Yog through the Realization of Divine Knowledge,6,एतद्योनीनि भूतानि सर्वाणीत्युपधारय |अहं कृत्स्नस्य जगत: प्रभव: प्रलयस्तथा || 6||,etad-yonīni bhūtāni sarvāṇītyupadhārayaahaṁ kṛitsnasya jagataḥ prabhavaḥ pralayas tathā,etat yonīni—these two (energies) are the source of;bhūtāni—living beings;sarvāṇi—all;iti—that;upadhāraya—know;aham—I;kṛitsnasya—entire;jagataḥ—creation;prabhavaḥ—the source;pralayaḥ—dissolution;tathā—and,etad-yonini bhutani sarvanityupadharayaaham kritsnasya jagatah prabhavah pralayas tatha,"BG 7.6:Know that all living beings are manifested by these two energies of Mine. I am the source of the entire creation, and into Me it again dissolves.","Living beings are a manifestation of God’s two energies,jīva śhakti,the sentient soul energy, andMaya,the insentient material energy or matter. In the material realm, all life is a combination of both matter and soul. Matter by itself is insentient or lifeless, and the sentient soul needs a carrier body. Hence, both come together to form a living being.Similarly, the entire creation is a manifestation of God’s energies. One cycle of creation lasts for 100 years ofBrahma. Then the Supreme Lord starts the process of dissolution. The five gross elements merge into five subtle elements, which in turn merge intoahankār.Ahankārgoes back intomahān,which again unites withprakṛiti.Prakṛitinow resides inside the body ofMaha Vishnu(another form of the Supreme Lord).  All the materially bound souls, which could not get liberated during this cycle of creation, also reside in God’s body. They remain unmanifested, waiting for the next cycle of creation.When God decides to create, the entire cycle begins all over again (as explained in verse 7.4), and a new world comes into existence. Therefore, God is the source, the sustainer, and the resting place for the entire creation."
6,7,Jñāna Vijñāna Yog,Yog through the Realization of Divine Knowledge,7,मत्त: परतरं नान्यत्किञ्चिदस्ति धनञ्जय |मयि सर्वमिदं प्रोतं सूत्रे मणिगणा इव || 7||,mattaḥ parataraṁ nānyat kiñchid asti dhanañjayamayi sarvam idaṁ protaṁ sūtre maṇi-gaṇā iva,"mattaḥ—than me;para-taram—superior;na—not;anyat kiñchit—anything else;asti—there is;dhanañjaya—Arjun, conqueror of wealth;mayi—in me;sarvam—all;idam—which we see;protam—is strung;sūtre—on a thread;maṇi-gaṇāḥ—beads;iva—like",mattah parataram nanyat kinchid asti dhananjayamayi sarvam idam protam sutre mani-gana iva,"BG 7.7:There is nothing higher than Myself, O Arjun. Everything rests in Me, as beads strung on a thread.","Here, Lord Shree Krishna states about His dominion and His Supreme position in this universe. He is the Substratum over which this entire creation exists; He is the Creator, Sustainer, and Annihilator. Similar to the beads strung in a thread, which can move in their place, God has given individual souls the free will to act as they wish, yet their existence is bound to Him.  The Śhwetāśhvatar Upaniṣhad states:na tatsamaśhchābhyadhikaśhcha dṛiśhyateparāsya śhaktirvividhaiva śhrūyate(6.8)“There is nothing equal to God, nor is there anything superior to Him.”In this verse, Lord Shree Krishna has clearly stated that He, in His original form, who stood before Arjun is the Ultimate Supreme Truth. By using the words, Me, My and I, He has dispelled the doubts that many have about Lord Shree Krishna Himself being God, the Supreme Lord. As many suppose that there is another higher formless entity, who is the ultimate source of even Lord Shree Krishna. As the first-born Brahma prays to Lord Shree Krishna:īśhwaraḥ paramaḥ kṛiṣhṇaḥ sachchidānanda vigrahaḥanādirādir govindaḥ sarva kāraṇa kāraṇam(Brahma Samhitā 5.1)“Shree Krishna is the Supreme Lord, who is eternal, omniscient, and infinite bliss.  He is without beginning and end, the origin of all, and the cause of all causes.”"
7,7,Jñāna Vijñāna Yog,Yog through the Realization of Divine Knowledge,8,रसोऽहमप्सु कौन्तेय प्रभास्मि शशिसूर्ययो: |प्रणव: सर्ववेदेषु शब्द: खे पौरुषं नृषु || 8||,raso ’ham apsu kaunteya prabhāsmi śhaśhi-sūryayoḥpraṇavaḥ sarva-vedeṣhu śhabdaḥ khe pauruṣhaṁ nṛiṣhu,"rasaḥ—taste;aham—I;apsu—in water;kaunteya—Arjun, the son of Kunti;prabhā—the radiance;asmi—I am;śhaśhi-sūryayoḥ—of the moon and the sun;praṇavaḥ—the sacred syllable Om;sarva—in all;vedeṣhu—Vedas;śhabdaḥ—sound;khe—in ether;pauruṣham—ability;nṛiṣhu—in humans",raso ’ham apsu kaunteya prabhasmi shashi-suryayohpranavah sarva-vedeshu shabdah khe paurusham nrishu,"BG 7.8:I am the taste in water, O son of Kunti, and the radiance of the sun and the moon. I am the sacred syllable Om in the Vedic mantras; I am the sound in ether, and the ability in humans.","Shree Krishna said in the previous verse that He is the origin, sustainer, and the basis of all that exists in this world. Now, He continues to explain it further in these four verses.The sweet taste of any fruit that we eat confirms the presence of Fructose or fruit sugar in it. Similarly, Shree Krishna reveals that He is present in all the modifications of His energies. He says He is the taste in water. What does that mean? Water hardly has any taste of its own. Yet, other forms of matter such as solids, fires, and gases need liquids to carry their taste.Have you ever tried putting a solid food item, on your dry tongue? Do you get any taste? Only when the saliva in our mouth dissolves some part of the solid, we start getting the taste as perceived by the taste buds on our tongue. After all, who can separate the taste of water from water? That is why Shree Krishna says that he is the taste in water. It is the intrinsic property of water to carry the taste of all substances; without water, there will be no taste.In the same way,ākāśha(space) acts as the vehicle for sound. Different languages form due to sound modifications. Shree Krishna says He is the origin of it all, as the sound in space is His energy. He is the syllableOmthe most important sound in the Vedic mantras. The sun and the moon get their radiance from Him. Even for all the abilities that manifest in humans, He is the ultimate energy source."
8,7,Jñāna Vijñāna Yog,Yog through the Realization of Divine Knowledge,9,पुण्यो गन्ध: पृथिव्यां च तेजश्चास्मि विभावसौ |जीवनं सर्वभूतेषु तपश्चास्मि तपस्विषु || 9||,puṇyo gandhaḥ pṛithivyāṁ cha tejaśh chāsmi vibhāvasaujīvanaṁ sarva-bhūteṣhu tapaśh chāsmi tapasviṣhu,puṇyaḥ—pure;gandhaḥ—fragrance;pṛithivyām—of the earth;cha—and;tejaḥ—brilliance;cha—and;asmi—I am;vibhāvasau—in the fire;jīvanam—the life-force;sarva—in all;bhūteṣhu—beings;tapaḥ—penance;cha—and;asmi—I am;tapasviṣhu—of the ascetics,punyo gandhah prithivyam cha tejash chasmi vibhavasaujivanam sarva-bhuteshu tapash chasmi tapasvishu,"BG 7.9:I am the pure fragrance of the Earth, and the brilliance in fire. I am the life-force in all beings, and the penance of the ascetics.","In continuation to the previous verses, Shree Krishna declares that He is the source and the most vital ingredient of everything. The entire universe is an extension of His opulence. On Earth, He is the force behind both the non-living and the living. He is the mild and pure fragrance of the earth and the bright radiance of a flame. He is the life-force of all living creatures. The ascetics or sadhus consciously deny themselves of bodily pleasures and perform austerities for self-purification. Lord Krishna says He is indeed the force behind their capacity to do penance."
9,7,Jñāna Vijñāna Yog,Yog through the Realization of Divine Knowledge,10,बीजं मां सर्वभूतानां विद्धि पार्थ सनातनम् |बुद्धिर्बुद्धिमतामस्मि तेजस्तेजस्विनामहम् || 10||,bījaṁ māṁ sarva-bhūtānāṁ viddhi pārtha sanātanambuddhir buddhimatām asmi tejas tejasvinām aham,"bījam—the seed;mām—me;sarva-bhūtānām—of all beings;viddhi—know;pārtha—Arjun, the son of Pritha;sanātanam—the eternal;buddhiḥ—intellect;buddhi-matām—of the intelligent;asmi—(I) am;tejaḥ—splendor;tejasvinām—of the splendid;aham—I",bijam mam sarva-bhutanam viddhi partha sanatanambuddhir buddhimatam asmi tejas tejasvinam aham,"BG 7.10:O Arjun, know that I am the eternal seed of all beings. I am the intellect of the intelligent, and the splendor of the glorious.","In a cause and effect relationship, every cause is the seed of its effect. For example, an ocean is the seed of the clouds, and the clouds are the seed for rain. Similarly, Shree Krishna says in this verse that He is the cause (the eternal seed) from which all beings manifest.Have you ever thought about why some people are more intelligent than others? Why do they have greater brilliance in their thoughts and ideas? The only explanation for this can be; since all that exists is a manifestation of God’s energy. The splendid qualities visible in such outstanding people can only be due to God’s grace. As Shree Krishna has mentioned in this verse, He is the subtle force behind the intelligent and the glorious. He makes their minds more analytic and thoughts scintillating.Legend of modern history, such as William Shakespeare, displayed unmatched brilliance in the field of literature. That could have only been possible by God’s grace. His works have nourished English literature, and English has now become the most used language of the world. Swami Vivekananda once said: the British Empire has united the world in one language.Another such genius is Bill Gates, who changed the course of information technology with his Windows Operating System. With more than ninety percent of market share, Windows has become the most popular Operating System in the world. As it is very user-friendly, it has made information technology available to the public at large. The usage of computers is not limited to IT engineers anymore. Such inspiration to have one major operating system to unify the information technology industry and ensure proper interaction could only be through God’s plan. God enhances one such person’s intellect when he wants to save us from chaos.Of course, the saints have always acknowledged that the brilliance and beauty of their works are due to God’s special grace. Sage Tulsidas said:na maiñ kiyā na kari sakauñ, sahiba kartā morkarata karāvata āap haiñ, tulasī tulasī śhor“Neither did I write theRamayan, nor do I have the ability to write it.  The Lord is my Doer.  He directs my actions and acts through me, but the world thinks that Tulsidas is doing them.”  Therefore, Lord Shree Krishna is indeed the ultimate source of all the brilliance and intelligence that manifests around us."
10,7,Jñāna Vijñāna Yog,Yog through the Realization of Divine Knowledge,11,बलं बलवतां चाहं कामरागविवर्जितम् |धर्माविरुद्धो भूतेषु कामोऽस्मि भरतर्षभ || 11||,balaṁ balavatāṁ chāhaṁ kāma-rāga-vivarjitamdharmāviruddho bhūteṣhu kāmo ’smi bharatarṣhabha,"balam—strength;bala-vatām—of the strong;cha—and;aham—I;kāma—desire;rāga—passion;vivarjitam—devoid of;dharma-aviruddhaḥ—not conflicting with dharma;bhūteṣhu—in all beings;kāmaḥ—sexual activity;asmi—(I) am;bharata-ṛiṣhabha—Arjun, the best of the Bharats",balam balavatam chaham kama-raga-vivarjitamdharmaviruddho bhuteshu kamo ’smi bharatarshabha,"BG 7.11:O best of the Bharatas, in strong persons, I am their strength devoid of desire and passion. I am sexual activity not conflicting with virtue or scriptural injunctions.","Desire is an active craving for things not attained. Fueled with passion, one achieves and experiences the desired objects. But this causes attachment, which is a passive mental emotion that provokes the thirst for more. Therefore, when Shree Krishna stateskāma-rāga-vivarjitam; He means “devoid of passion and attachment.” Explaining the nature of His strength, He says that He is the serene and sublime strength in people, which empowers them; to successfully fulfill their duties and responsibilities.When sexual activity is undertaken only for sensual pleasure and is devoid of any regulative principles, it is considered beastly or animalistic. Whereas, it is regarded, in line with the scriptural injunctions and not a contrary virtue, when carried out for procreation by a householder. Here, Shree Krishna has mentioned that within the institution of marriage, He is the controlled, virtuous, and well-intended sexual activity of a householder."
